
%NQSII(INFO): ------- Output from job:0000 -------
       3.907s 0000 Spinup Function norm 4.328962677595e+01
       3.902s 0001 Spinup Function norm 2.228472721859e+01
       3.903s 0002 Spinup Function norm 1.286500993446e+01
       3.811s 0000 Spinup Function norm 4.328962677595e+01
       3.817s 0001 Spinup Function norm 2.228472721859e+01
       3.819s 0002 Spinup Function norm 1.286500993446e+01
       3.702s 0000 Spinup Function norm 4.328962677595e+01
       3.699s 0001 Spinup Function norm 2.228472721859e+01
       3.699s 0002 Spinup Function norm 1.286500993446e+01
       3.626s 0000 Spinup Function norm 4.328962677595e+01
       3.768s 0001 Spinup Function norm 2.228472721859e+01
       3.684s 0002 Spinup Function norm 1.286500993446e+01
       3.556s 0000 Spinup Function norm 4.328962677595e+01
       3.559s 0001 Spinup Function norm 2.228472721859e+01
       3.558s 0002 Spinup Function norm 1.286500993446e+01
       3.465s 0000 Spinup Function norm 4.328962677595e+01
       3.452s 0001 Spinup Function norm 2.228472721859e+01
       3.453s 0002 Spinup Function norm 1.286500993446e+01
       3.375s 0000 Spinup Function norm 4.328962677595e+01
       3.359s 0001 Spinup Function norm 2.228472721859e+01
       3.356s 0002 Spinup Function norm 1.286500993446e+01
       3.270s 0000 Spinup Function norm 4.328962677595e+01
       3.269s 0001 Spinup Function norm 2.228472721859e+01
       3.274s 0002 Spinup Function norm 1.286500993446e+01
       3.198s 0000 Spinup Function norm 4.328962677595e+01
       3.183s 0001 Spinup Function norm 2.228472721859e+01
       3.186s 0002 Spinup Function norm 1.286500993446e+01
       3.136s 0000 Spinup Function norm 4.328962677595e+01
       3.123s 0001 Spinup Function norm 2.228472721859e+01
       3.121s 0002 Spinup Function norm 1.286500993446e+01
       3.068s 0000 Spinup Function norm 4.328962677595e+01
       3.062s 0001 Spinup Function norm 2.228472721859e+01
       3.056s 0002 Spinup Function norm 1.286500993446e+01
       2.975s 0000 Spinup Function norm 4.328962677595e+01
       2.974s 0001 Spinup Function norm 2.228472721859e+01
       2.972s 0002 Spinup Function norm 1.286500993446e+01
       2.907s 0000 Spinup Function norm 4.328962677595e+01
       2.920s 0001 Spinup Function norm 2.228472721859e+01
       2.901s 0002 Spinup Function norm 1.286500993446e+01
       2.858s 0000 Spinup Function norm 4.328962677595e+01
       2.856s 0001 Spinup Function norm 2.228472721859e+01
       2.842s 0002 Spinup Function norm 1.286500993446e+01
       2.795s 0000 Spinup Function norm 4.328962677595e+01
       2.825s 0001 Spinup Function norm 2.228472721859e+01
       2.789s 0002 Spinup Function norm 1.286500993446e+01
       2.801s 0000 Spinup Function norm 4.328962677595e+01
       2.788s 0001 Spinup Function norm 2.228472721859e+01
       2.788s 0002 Spinup Function norm 1.286500993446e+01
       2.731s 0000 Spinup Function norm 4.328962677595e+01
       2.706s 0001 Spinup Function norm 2.228472721859e+01
       2.715s 0002 Spinup Function norm 1.286500993446e+01
       2.635s 0000 Spinup Function norm 4.328962677595e+01
       2.633s 0001 Spinup Function norm 2.228472721859e+01
       2.629s 0002 Spinup Function norm 1.286500993446e+01
       2.588s 0000 Spinup Function norm 4.328962677595e+01
       2.592s 0001 Spinup Function norm 2.228472721859e+01
